Latitude,Longitude,Ellps Height (m),Geoid Height (m),Ortho Height (m)
9.34188,7.48959,629.742,23.47,606.27
9.34389,7.48774,626.599,23.47,603.13
9.34585,7.4858,623.749,23.48,600.27
9.35599,7.46886,612.95,23.49,589.46
9.35319,7.45789,601.479,23.49,577.99
9.34981,7.45503,598.881,23.49,575.39
9.34946,7.44568,587.349,23.49,563.86
9.35131,7.44116,595.433,23.5,571.94
9.34937,7.42534,580.33,23.5,556.83
9.3515,7.41608,554.833,23.51,531.32
9.34202,7.3931,554.195,23.51,530.68
9.34361,7.49698,638.124,23.47,614.65
9.3389,7.38208,537.228,23.51,513.71
9.02824,7.4674,494.421,23.15,471.27
9.01716,7.47755,526.939,23.15,503.79
9.00502,7.49591,559.481,23.13,536.35
8.99314,7.50767,586.661,23.11,563.55
9.06124,7.45216,484.234,23.18,461.06
9.06971,7.45149,474.403,23.18,451.22
9.08091,7.45329,482.892,23.19,459.7
9.09236,7.45485,480.847,23.2,457.64
9.11212,7.45141,497.253,23.23,474.02
9.12692,7.45598,757.845,23.25,734.59
9.1301,7.47421,808.31,23.26,785.05
9.11857,7.48707,735.707,23.24,712.47
9.11055,7.49341,597.053,23.23,573.83
9.09928,7.51432,551.309,23.19,528.12
9.06399,7.52164,517.881,23.13,494.75
9.05431,7.52116,602.638,23.12,579.51
9.04248,7.526,554.684,23.1,531.58
9.02636,7.52425,633.646,23.09,610.56
9.01053,7.52125,635.644,23.08,612.56
8.99653,7.51616,637.548,23.09,614.45
9.04208,7.43494,466.549,23.17,443.38
9.05043,7.42331,442.313,23.18,419.14
9.05303,7.40102,475.142,23.18,451.96
9.06006,7.38704,453.804,23.19,430.62
9.06523,7.36559,431.308,23.19,408.12
9.03421,7.43725,466.315,23.17,443.15
9.02319,7.42567,447.688,23.17,424.52
9.01018,7.41265,452.301,23.18,429.12
8.99495,7.40174,431.116,23.19,407.93
8.98609,7.38381,451.96,23.2,428.76
9.0947,7.3614,491.366,23.21,468.15
9.11374,7.36821,467.369,23.23,444.14
9.12271,7.37411,469.073,23.24,445.83
9.1321,7.38007,466.881,23.25,443.63
8.97904,7.38252,427.171,23.2,403.97
8.9715,7.3917,434.26,23.2,411.06
8.96299,7.40756,485.776,23.2,462.58
8.94987,7.42597,505.708,23.2,482.5
8.9387,7.43612,468.544,23.21,445.33
8.97636,7.32216,427.49,23.22,404.27
8.98384,7.34361,380.644,23.21,357.43
8.98561,7.36082,394.157,23.2,370.95
8.94415,7.46317,486.253,23.18,463.07
8.9557,7.47558,550.689,23.16,527.53
8.96685,7.48997,561.319,23.14,538.18
8.97222,7.50002,539.755,23.12,516.63
9.0593,7.34168,395.585,23.2,372.39
9.04919,7.33187,380.491,23.2,357.29
9.03089,7.31752,367.128,23.2,343.93
9.01638,7.30516,377.592,23.21,354.38
9.00514,7.30256,365.985,23.21,342.77
8.98756,7.28547,359.409,23.23,336.18
8.98283,7.2621,351.943,23.24,328.7
8.97318,7.24877,375.14,23.25,351.89
8.9757,7.22803,319.581,23.26,296.32
8.97005,7.21086,316.454,23.27,293.19
8.97815,7.21021,323.844,23.26,300.58
8.99235,7.22261,313.347,23.25,290.1
9.0069,7.2234,305.737,23.24,282.5
9.01601,7.25346,329.125,23.23,305.9
9.00504,7.27484,362.884,23.22,339.66
8.99646,7.283,337.296,23.22,314.07
9.02702,7.22201,304.337,23.24,281.1
9.02739,7.2046,317.382,23.24,294.14
9.02809,7.19223,315.661,23.25,292.41
9.02496,7.17282,297.111,23.25,273.86
9.01908,7.15475,282.361,23.25,259.11
9.10852,7.22854,420.61,23.28,397.33
9.10352,7.24444,392.591,23.27,369.32
9.09351,7.25545,369.13,23.25,345.88
9.09148,7.27096,370.228,23.24,346.98
9.05017,7.23906,344.966,23.23,321.74
9.06662,7.25414,353.838,23.23,330.61
9.07285,7.26035,353.011,23.23,329.78
9.07935,7.27211,365.722,23.23,342.49
9.10217,7.28718,401.204,23.25,377.96
9.11121,7.29318,407.461,23.25,384.21
8.91051,7.43,509.73,23.24,486.49
8.88676,7.42537,527.779,23.29,504.49
8.8665,7.42289,443.714,23.33,420.38
8.83491,7.4197,618.548,23.41,595.14
8.83116,7.3864,453.512,23.44,430.08
8.92796,7.48068,568.752,23.18,545.57
8.9023,7.48794,546.484,23.21,523.27
8.88144,7.48757,551.842,23.25,528.59
